Date,Time,RANDWICK_SO2,RANDWICK_NO,RANDWICK_NO2,RANDWICK_OZONE,RANDWICK_PM10,RANDWICK_PM2.5,ROZELLE_SO2,ROZELLE_NO,ROZELLE_NO2,ROZELLE_OZONE,ROZELLE_PM10,ROZELLE_PM2.5,CHULLORA_SO2,CHULLORA_NO,CHULLORA_NO2,CHULLORA_OZONE,CHULLORA_PM10,CHULLORA_PM2.5
01/01/2020,01:00,0,-0.1,0,2,40.9,18.5,0,0,0.1,1.8,36.6,10.2,0,0,0,1.8,39.5,13.1
01/01/2020,02:00,,,,,45.4,8.1,,,,,35.2,10.9,,,,,38.4,11.3
01/01/2020,03:00,0,0,0.4,1.4,39.7,15,0,0,0,1.8,35.9,12.4,0,0.1,0.2,1.6,39.5,11.8
01/01/2020,04:00,0.1,0,0.5,1.3,45,16.2,0,0,0,1.8,35.2,16.2,0,0,0.1,1.5,40.5,13.2
01/01/2020,05:00,0.1,0,0.9,1.1,48.5,22.7,0,0,0.1,1.8,37.3,12.6,0,0,0,1.6,38.1,11.6
01/01/2020,06:00,0.1,0,0.8,1,52.8,24.2,0,0,0.1,1.9,41.6,14.3,0,0.1,0,1.7,36.9,16.7
01/01/2020,07:00,0.1,0.2,0.6,1.2,58.3,21.7,0,0,0.1,1.8,48.8,15,0,0,0,1.7,39.9,14.9
01/01/2020,08:00,0.1,0.2,0.4,1.4,52.9,18.2,0,0,0,1.9,50.2,24.7,0,0,-0.1,1.9,49.1,14.1
01/01/2020,09:00,0.1,0,0.1,1.9,58.1,3.8,0,0,0,2.2,59.9,20.8,0,0.1,-0.1,2.2,56.2,18.1
01/01/2020,10:00,0,0,0,2.3,72.5,,0.1,0.1,0.3,2.4,63.1,24.7,0,0,-0.2,2.6,54.5,22.8
01/01/2020,11:00,0,-0.1,0,2.9,107.5,26.7,0.1,0.1,0.2,3.1,66,28.4,0,0,-0.1,3.1,59.4,22.1
