Date,Time,WALLSEND WDR ,WALLSEND TEMP ,WALLSEND WSP ,WALLSEND HUMID,WALLSEND SOLAR ,NEWCASTLE WDR ,NEWCASTLE TEMP ,NEWCASTLE WSP ,NEWCASTLE HUMID ,NEWCASTLE SOLAR ,BERESFIELD WDR,BERESFIELD TEMP ,BERESFIELD WSP ,BERESFIELD HUMID ,BERESFIELD SOLAR
01/01/2020,01:00,211.9,20.9,3.2,68.4,-2.3,204.1,21.1,3.5,67.8,,214.9,21.1,2.9,66.8,
01/01/2020,02:00,226.6,20.4,1.8,70.4,-2.2,216.3,20.9,2.3,69.9,,227.5,20.7,1.9,68.3,
01/01/2020,03:00,227.2,20.4,1.7,70.9,-1.7,218.5,20.8,2.1,71.4,,229.3,20.7,2.1,69.2,
01/01/2020,04:00,224.6,20.3,1.5,71.3,-1.4,214.2,20.5,1.7,71.9,,217.1,20.7,1.7,70.4,
01/01/2020,05:00,228.1,20.3,1.2,71.4,-0.4,218.2,20.4,1.3,71.8,,216.9,20.7,1.2,71,
01/01/2020,06:00,227.5,20.4,1.1,71.5,38.4,201.2,20.4,1.2,72.2,,171.2,20.7,1.1,70.6,
01/01/2020,07:00,233.5,20.8,1.3,70.6,105.1,221.6,20.9,1.1,71,,164.9,21.3,1.3,68.6,
01/01/2020,08:00,220.6,22.1,0.7,66.6,319.2,180.2,21.2,1.6,70.1,,141.4,22.1,1,66.2,
01/01/2020,09:00,149,22.8,0.9,64.3,556.6,139.9,21.2,2.2,70.6,,124.8,23.2,0.9,64,
01/01/2020,10:00,118.3,24.4,2.1,60,811.6,143.1,21.7,3.7,67.6,,92.1,24.9,1.4,58.6,
01/01/2020,11:00,125.1,24.4,3.7,60.4,971.1,145.2,21.8,4.4,67.1,,123.9,26.3,2.3,55.1,
01/01/2020,12:00,118.8,24.5,3.5,59.9,964.4,141.8,22.2,3.9,65.1,,110.9,26.8,3,53.8,
01/01/2020,13:00,123.1,24.1,4.4,62,1001.5,139.3,21.9,4.1,68.6,,134.3,26.7,2.8,53.7,
01/01/2020,14:00,133.9,24.1,5.1,63.6,970,140.8,21.9,4.3,71.5,,139.7,26.7,2.8,54.7,
01/01/2020,15:00,134.9,23.9,5.2,65.6,832.9,145.3,22.2,4.1,73.6,,136.3,26.7,2.9,56.1,
01/01/2020,16:00,130.6,23.5,5.1,68.7,557.5,147.5,22.2,3.9,76.5,,132.8,25.9,3.1,59.9,
01/01/2020,17:00,146.3,23.1,4.6,72.1,318.2,171.4,22.2,2.7,79.7,,135.2,24.9,2.9,65.1,
01/01/2020,18:00,166.7,22.7,3.9,77,121.5,183.6,21.6,3.3,83.7,,159.6,23.4,4,73.1,
01/01/2020,19:00,178,22.5,3.1,80.2,36,186.7,21.4,3.6,85.8,,168.8,22.7,4.9,78.2,
01/01/2020,20:00,172.1,22.2,3.6,83.6,-1.1,185.5,21.4,3.9,86.6,,164.7,22.4,5,82.8,
01/01/2020,21:00,169.6,22.3,3.3,84.6,-1.2,186,21,3.5,88.4,,165.2,22.5,5.1,83.9,
01/01/2020,22:00,173.5,22.1,3.3,86,-1.1,183.8,21.2,3.5,88.9,,167.7,22.5,4.5,84.9,
01/01/2020,23:00,179.7,22,2.9,87,-1.1,189.6,21.2,3.3,88.8,,170.9,22.5,3.7,85.8,
01/01/2020,24:00,178.4,21.6,3,87.5,-1.6,190.6,20.9,3,89.5,,169.8,22.1,4.3,86.7,
02/01/2020,01:00,182.7,21.2,2.9,88.1,-1.5,188.5,20.5,2.9,90.2,,170.9,21.7,4.2,87,
02/01/2020,02:00,183.3,20.8,2.7,89.6,-1.8,192.7,20.4,2.9,89.3,,170,21.2,3.4,88.1,
02/01/2020,03:00,183.3,20.1,2.2,91.8,-1.7,193.6,20.2,2.7,89,,169.7,20.5,3.6,90.7,
02/01/2020,04:00,185.3,19.7,1.9,91.8,-1.7,189.2,20,3,87.7,,166.6,20.1,3.8,90.4,
