Date,Time,Station,WDR,TEMP,WSP,HUMID,SOLAR
01/01/2020,01:00:00,WALLSEND,211.9,20.9,3.2,68.4,-2.3
01/01/2020,02:00:00,WALLSEND,226.6,20.4,1.8,70.4,-2.2
01/01/2020,03:00:00,WALLSEND,227.2,20.4,1.7,70.9,-1.7
01/01/2020,04:00:00,WALLSEND,224.6,20.3,1.5,71.3,-1.4
01/01/2020,05:00:00,WALLSEND,228.1,20.3,1.2,71.4,-0.4
01/01/2020,06:00:00,WALLSEND,227.5,20.4,1.1,71.5,38.4
01/01/2020,07:00:00,WALLSEND,233.5,20.8,1.3,70.6,105.1
01/01/2020,08:00:00,WALLSEND,220.6,22.1,0.7,66.6,319.2
01/01/2020,09:00:00,WALLSEND,149,22.8,0.9,64.3,556.6
01/01/2020,10:00:00,WALLSEND,118.3,24.4,2.1,60,811.6
01/01/2020,11:00:00,WALLSEND,125.1,24.4,3.7,60.4,971.1
01/01/2020,12:00:00,WALLSEND,118.8,24.5,3.5,59.9,964.4
01/01/2020,13:00:00,WALLSEND,123.1,24.1,4.4,62,1001.5
01/01/2020,14:00:00,WALLSEND,133.9,24.1,5.1,63.6,970
01/01/2020,15:00:00,WALLSEND,134.9,23.9,5.2,65.6,832.9
01/01/2020,16:00:00,WALLSEND,130.6,23.5,5.1,68.7,557.5
01/01/2020,17:00:00,WALLSEND,146.3,23.1,4.6,72.1,318.2
01/01/2020,18:00:00,WALLSEND,166.7,22.7,3.9,77,121.5
01/01/2020,19:00:00,WALLSEND,178,22.5,3.1,80.2,36
01/01/2020,20:00:00,WALLSEND,172.1,22.2,3.6,83.6,-1.1
01/01/2020,21:00:00,WALLSEND,169.6,22.3,3.3,84.6,-1.2
01/01/2020,22:00:00,WALLSEND,173.5,22.1,3.3,86,-1.1
01/01/2020,23:00:00,WALLSEND,179.7,22,2.9,87,-1.1
02/01/2020,01:00:00,WALLSEND,182.7,21.2,2.9,88.1,-1.5
02/01/2020,02:00:00,WALLSEND,183.3,20.8,2.7,89.6,-1.8
02/01/2020,03:00:00,WALLSEND,183.3,20.1,2.2,91.8,-1.7
02/01/2020,04:00:00,WALLSEND,185.3,19.7,1.9,91.8,-1.7
02/01/2020,05:00:00,WALLSEND,183.3,19.7,2,91.1,-1.2
02/01/2020,10:00:00,WALLSEND,191.7,22.6,2.3,70.2,254.4
02/01/2020,11:00:00,WALLSEND,173,23.4,2.3,68.8,327.5
02/01/2020,12:00:00,WALLSEND,180.1,23.6,1.8,69.2,240.3
02/01/2020,13:00:00,WALLSEND,157.2,23.3,2.5,71,253.9
02/01/2020,14:00:00,WALLSEND,155.9,23.4,3,70.9,337.5
02/01/2020,15:00:00,WALLSEND,170.3,23.5,2.7,70.5,303.8
02/01/2020,16:00:00,WALLSEND,158.7,23,3.5,73.2,248.1
02/01/2020,17:00:00,WALLSEND,165,23,2.9,73.7,188.6
02/01/2020,18:00:00,WALLSEND,164.3,22.3,2.9,79.1,69.8
02/01/2020,19:00:00,WALLSEND,171.6,22,2.2,85.6,19.2
02/01/2020,20:00:00,WALLSEND,185.6,22,1.9,87.8,-0.9
02/01/2020,21:00:00,WALLSEND,185.5,22.3,1.8,88,-2
02/01/2020,22:00:00,WALLSEND,191.3,22.7,1.3,87.9,-1.2
02/01/2020,23:00:00,WALLSEND,205.4,22.5,1.4,88.8,-1.2
03/01/2020,01:00:00,WALLSEND,228.4,22.2,1,91.1,-1.1
03/01/2020,02:00:00,WALLSEND,173.9,22.2,1.3,92.3,-1.3
03/01/2020,03:00:00,WALLSEND,196.7,22,0.8,92.7,-1.6
03/01/2020,04:00:00,WALLSEND,205.5,21.9,0.7,92.9,-1.5
03/01/2020,05:00:00,WALLSEND,180.5,21.8,0.7,92.9,-0.7
03/01/2020,06:00:00,WALLSEND,182.6,22.1,0.9,91.8,19.5
03/01/2020,07:00:00,WALLSEND,176.3,22.6,1.2,88.6,82.2
03/01/2020,08:00:00,WALLSEND,187.6,23.6,1.1,84.1,210.4
03/01/2020,09:00:00,WALLSEND,133.3,25.4,0.3,74.8,406.3
03/01/2020,10:00:00,WALLSEND,98.4,26.5,0.5,69,386.8
03/01/2020,11:00:00,WALLSEND,98.3,27.8,0.7,65.1,546
03/01/2020,12:00:00,WALLSEND,125.6,28.5,4.4,64.2,1001.6
03/01/2020,13:00:00,WALLSEND,111.6,28.3,4.6,64.5,1039.4
03/01/2020,14:00:00,WALLSEND,104.7,28.9,5.3,55.8,982
03/01/2020,15:00:00,WALLSEND,117.7,29.6,5.1,50,856.9
03/01/2020,16:00:00,WALLSEND,114.4,28.9,4.7,55.4,672
03/01/2020,17:00:00,WALLSEND,104.3,28.4,4.3,58.4,388.5
03/01/2020,18:00:00,WALLSEND,94,28.7,3.2,55.9,95
03/01/2020,19:00:00,WALLSEND,108.3,27.6,2.6,60.2,32.1
03/01/2020,20:00:00,WALLSEND,110.9,25.7,1.5,68.2,-1.4
03/01/2020,21:00:00,WALLSEND,76,25.5,0.7,67.9,-2.6
03/01/2020,22:00:00,WALLSEND,132.4,24.7,0.9,70.2,-2.4
03/01/2020,23:00:00,WALLSEND,147,23.8,1.6,75,-2.5
04/01/2020,01:00:00,WALLSEND,174.3,22.3,1,84.4,-2.3
04/01/2020,02:00:00,WALLSEND,200.7,21.9,0.9,86.2,-2.3
04/01/2020,03:00:00,WALLSEND,210.3,21.4,0.8,89,-2.3
04/01/2020,04:00:00,WALLSEND,196.1,21,0.6,91.1,-2.3
04/01/2020,05:00:00,WALLSEND,208.4,20.8,0.5,92.1,-1.1
04/01/2020,06:00:00,WALLSEND,233.8,20.9,0.4,92,48.7
04/01/2020,07:00:00,WALLSEND,39.1,23.3,0.5,83.1,212.7
04/01/2020,08:00:00,WALLSEND,351.9,26.5,1.9,69.4,435.6
04/01/2020,09:00:00,WALLSEND,342.2,30.5,2.5,55,637.6
04/01/2020,10:00:00,WALLSEND,327.1,35.5,3.6,36.2,807.8
04/01/2020,11:00:00,WALLSEND,319.1,39.3,4.2,24.7,937.9
04/01/2020,12:00:00,WALLSEND,320.8,41.6,4.3,20.6,1010.1
04/01/2020,13:00:00,WALLSEND,317.3,43.3,3.8,17.5,1014.4
